Date,LAT,LON,NDWI,nb_images
2024-08-01,30.5,-7.5,-0.1179,5
2024-09-01,30.5,-7.5,-0.1177,4
2024-10-01,30.5,-7.5,-0.1288,4
2024-11-01,30.5,-7.5,-0.1225,3
2024-12-01,30.5,-7.5,-0.1076,5
2025-01-01,30.5,-7.5,-0.111,6
2025-02-01,30.5,-7.5,-0.1081,5
2025-03-01,30.5,-7.5,-0.1035,5
2025-04-01,30.5,-7.5,-0.1047,6
2025-05-01,30.5,-7.5,-0.1051,5
2025-06-01,30.5,-7.5,-0.1157,6
2025-07-01,30.5,-7.5,-0.1124,8
2025-08-01,30.5,-7.5,-0.122,5
2025-09-01,30.5,-7.5,-0.1195,5
2025-10-01,30.5,-7.5,-0.1259,5
2025-11-01,30.5,-7.5,-0.1189,6
2025-12-01,30.5,-7.5,-0.1128,5
2020-01-01,30.5,-2.5,-0.1066,7
2020-02-01,30.5,-2.5,-0.1027,4
2020-03-01,30.5,-2.5,-0.1156,7
2020-04-01,30.5,-2.5,-0.1271,5
2020-05-01,30.5,-2.5,-0.1234,5
2020-06-01,30.5,-2.5,-0.1151,3
2020-07-01,30.5,-2.5,-0.1379,6
2020-08-01,30.5,-2.5,-0.1381,5
2020-09-01,30.5,-2.5,-0.157,4
2020-10-01,30.5,-2.5,-0.1286,5
2020-11-01,30.5,-2.5,-0.1292,5
2020-12-01,30.5,-2.5,-0.1187,6
2021-01-01,30.5,-2.5,-0.1126,5
2021-02-01,30.5,-2.5,-0.1042,4
2021-03-01,30.5,-2.5,-0.1123,3
2021-04-01,30.5,-2.5,-0.1154,4
2021-05-01,30.5,-2.5,-0.1194,3
2021-06-01,30.5,-2.5,-0.1294,3
2021-07-01,30.5,-2.5,-0.1244,5
2021-08-01,30.5,-2.5,-0.1208,6
2021-09-01,30.5,-2.5,-0.1339,4
2021-10-01,30.5,-2.5,-0.1309,4
2021-11-01,30.5,-2.5,-0.1306,5
2021-12-01,30.5,-2.5,-0.1068,5
2022-01-01,30.5,-2.5,-0.1054,5
2022-02-01,30.5,-2.5,-0.1131,2
2022-03-01,30.5,-2.5,-0.1123,5
2022-04-01,30.5,-2.5,-0.1094,6
2022-05-01,30.5,-2.5,-0.1185,6
2022-06-01,30.5,-2.5,-0.1266,5
2022-07-01,30.5,-2.5,-0.1284,6
2022-08-01,30.5,-2.5,-0.1306,6
2022-09-01,30.5,-2.5,-0.1326,4
2022-10-01,30.5,-2.5,-0.1259,5
2022-11-01,30.5,-2.5,-0.1207,6
2022-12-01,30.5,-2.5,-0.1167,2
2023-01-01,30.5,-2.5,-0.1071,6
2023-02-01,30.5,-2.5,-0.1193,4
2023-03-01,30.5,-2.5,-0.1154,7
2023-04-01,30.5,-2.5,-0.1159,4
2023-05-01,30.5,-2.5,-0.1185,6
2023-06-01,30.5,-2.5,-0.1213,5
2023-07-01,30.5,-2.5,-0.1273,6
2023-08-01,30.5,-2.5,-0.131,5
2023-09-01,30.5,-2.5,-0.1258,2
2023-10-01,30.5,-2.5,-0.1301,4
2023-11-01,30.5,-2.5,-0.1249,3
2023-12-01,30.5,-2.5,-0.1053,5
2024-01-01,30.5,-2.5,-0.1151,2
2024-02-01,30.5,-2.5,-0.1118,4
2024-03-01,30.5,-2.5,-0.1158,5
2024-04-01,30.5,-2.5,-0.1187,5
2024-05-01,30.5,-2.5,-0.1138,6
2024-06-01,30.5,-2.5,-0.1225,5
2024-07-01,30.5,-2.5,-0.1294,6
2024-08-01,30.5,-2.5,-0.1405,6
2024-09-01,30.5,-2.5,-0.1369,2
2024-10-01,30.5,-2.5,-0.1331,4
2024-11-01,30.5,-2.5,-0.123,3
2024-12-01,30.5,-2.5,-0.1164,3
2025-01-01,30.5,-2.5,-0.1037,5
2025-02-01,30.5,-2.5,-0.1107,5
2025-03-01,30.5,-2.5,-0.1116,5
2025-04-01,30.5,-2.5,-0.1197,7
2025-05-01,30.5,-2.5,-0.1204,6
2025-06-01,30.5,-2.5,-0.1291,9
2025-07-01,30.5,-2.5,-0.1287,7
2025-08-01,30.5,-2.5,-0.1331,7
2025-09-01,30.5,-2.5,-0.1346,6
2025-10-01,30.5,-2.5,-0.128,8
2025-11-01,30.5,-2.5,-0.1236,6
2025-12-01,30.5,-2.5,-0.1172,7
2020-01-01,31.5,-7.5,0.0418,6
2020-02-01,31.5,-7.5,0.0531,5
2020-03-01,31.5,-7.5,0.0179,4
2020-04-01,31.5,-7.5,0.0275,2
2020-05-01,31.5,-7.5,0.0698,4
