Date,NDWI,Surface
2024-03-04,-0.08131648745519712,3737321.621379898
2024-03-05,-0.08142383512544803,8459292.637291703
2024-03-06,-0.08153118279569892,13181263.653203506
2024-03-07,-0.08163853046594982,11277128.925510181
2024-03-08,-0.08174587813620071,9372994.197816856
2024-03-09,-0.08185322580645162,7468859.470123529
2024-03-10,-0.0819605734767025,5564724.7424302045
2024-03-11,-0.08206792114695341,3660590.0147368787
2024-03-12,-0.0821752688172043,3224978.7678405363
2024-03-13,-0.08228261648745519,2789367.520944194
2024-03-14,-0.0823899641577061,2353756.2740478516
2024-03-15,-0.08249731182795698,6399137.471957996
2024-03-16,-0.08260465949820789,10444518.66986814
2024-03-17,-0.08271200716845878,8204145.991977986
2024-03-18,-0.08281935483870968,5963773.314087831
2024-03-19,-0.08292670250896057,3723400.636197678
2024-03-20,-0.08303405017921148,14911316.313802358
2024-03-21,-0.08314139784946237,26099231.991407037
2024-03-22,-0.08324874551971326,37287147.66901172
2024-03-23,-0.08335609318996416,48475063.346616395
2024-03-24,-0.08346344086021505,52881791.84584084
2024-03-25,-0.08357078853046596,57288520.34506529
2024-03-26,-0.08367813620071685,61695248.844289735
2024-03-27,-0.08378548387096775,66101977.34351419
2024-03-28,-0.08389283154121864,70508705.84273863
2024-03-29,-0.08400017921146954,74915434.34196308
2024-03-30,-0.08410752688172043,79322162.84118754
2024-03-31,-0.08421487455197134,83728891.34041198
2024-04-01,-0.08432222222222223,88135619.83963642
2024-04-02,-0.08441000000000001,92542348.33886087
2024-04-03,-0.08449777777777778,3747555.074849926
2024-04-04,-0.08458555555555557,2494128.4229970304
2024-04-05,-0.08467333333333334,1240701.7711441345
2024-04-06,-0.08476111111111112,4548646.378209492
2024-04-07,-0.08484888888888889,7856590.985274849
2024-04-08,-0.08493666666666667,11164535.592340209
2024-04-09,-0.08502444444444444,14472480.199405566
2024-04-10,-0.08511222222222223,17780424.806470923
2024-04-11,-0.0852,64405809.65051716
2024-04-12,-0.08528777777777778,111031194.49456339
2024-04-13,-0.08537555555555555,3655530.444084258
2024-04-14,-0.08546333333333334,10688167.836946256
2024-04-15,-0.0855511111111111,17720805.229808252
2024-04-16,-0.08563888888888889,25950887.02805773
2024-04-17,-0.08572666666666667,34180968.82630721
2024-04-18,-0.08581444444444444,42411050.62455669
2024-04-19,-0.08590222222222223,50641132.422806166
2024-04-20,-0.08599,58871214.22105564
2024-04-21,-0.08607777777777778,67101296.019305125
2024-04-22,-0.08616555555555555,75331377.81755461
2024-04-23,-0.08625333333333333,3635777.720617078
2024-04-24,-0.0863411111111111,3682343.4159040265
2024-04-25,-0.08642888888888889,3728909.1111909756
2024-04-26,-0.08651666666666666,3737292.843528718
2024-04-27,-0.08660444444444444,3745676.5758664603
2024-04-28,-0.08669222222222221,3754060.308204203
2024-04-29,-0.08678,3729788.1406393023
2024-04-30,-0.08686777777777777,3705515.9730744013
2024-05-01,-0.08695555555555555,3706759.741157363
2024-05-02,-0.08745860215053763,3708003.5092403246
2024-05-03,-0.0879616487455197,3709247.2773232865
2024-05-04,-0.08846469534050179,3708812.489485199
2024-05-05,-0.08896774193548386,3708377.7016471117
2024-05-06,-0.08947078853046594,57851409.30161817
2024-05-07,-0.08997383512544802,111994440.90158924
2024-05-08,-0.0904768817204301,1244156.882230512
2024-05-09,-0.09097992831541218,1242510.7896738572
2024-05-10,-0.09148297491039425,1240864.6971172022
2024-05-11,-0.09198602150537634,1239218.604560547
2024-05-12,-0.09248906810035841,1237572.512003892
2024-05-13,-0.0929921146953405,1235926.4194472372
2024-05-14,-0.09349516129032256,14644403.008318594
2024-05-15,-0.09399820788530465,28052879.597189948
2024-05-16,-0.09450125448028673,41461356.1860613
2024-05-17,-0.0950043010752688,54869832.77493266
2024-05-18,-0.09550734767025089,37434219.22627239
2024-05-19,-0.09601039426523296,19998605.67761212
2024-05-20,-0.09651344086021504,2562992.1289518476
2024-05-21,-0.09701648745519711,28661922.506209977
2024-05-22,-0.0975195340501792,54760852.88346811
2024-05-23,-0.09802258064516128,1178531.4734008792
2024-05-24,-0.09852562724014335,6785717.64117994
2024-05-25,-0.09902867383512544,12392903.808959002
2024-05-26,-0.09953172043010752,15332108.556649722
2024-05-27,-0.1000347670250896,18271313.30434044
2024-05-28,-0.10053781362007168,29625176.18004245
2024-05-29,-0.10104086021505375,40979039.055744454
2024-05-30,-0.10154390681003583,52332901.93144646
2024-05-31,-0.1020469534050179,63686764.80714847
2024-06-01,-0.10254999999999999,75040627.68285048
2024-06-02,-0.10253907407407406,61356582.91585903
2024-06-03,-0.10252814814814813,47672538.14886757
2024-06-04,-0.1025172222222222,33988493.38187611
2024-06-05,-0.10250629629629629,20304448.61488466
2024-06-06,-0.10249537037037036,6620403.847893209
2024-06-07,-0.10248444444444443,5730569.9600601485
2024-06-08,-0.1024735185185185,4840736.072227089
2024-06-09,-0.10246259259259258,3950902.184394028
2024-06-10,-0.10245166666666666,2955930.438778387
2024-06-11,-0.10244074074074073,1960958.6931627458
2024-06-12,-0.1024298148148148,965986.9475471046
2024-06-13,-0.10241888888888888,4070217.0940979593
2024-06-14,-0.10240796296296295,7174447.240648814
2024-06-15,-0.10239703703703702,59202198.060611285
2024-06-16,-0.1023861111111111,111229948.88057376
2024-06-17,-0.10237518518518518,1237590.4046077956
2024-06-18,-0.10236425925925925,2460932.7716536582
2024-06-19,-0.10235333333333332,3684275.138699521
2024-06-20,-0.1023424074074074,57336333.32050378
2024-06-21,-0.10233148148148147,110988391.50230803
2024-06-22,-0.10232055555555555,1250797.1378421562
2024-06-23,-0.10230962962962963,7787225.150387932
2024-06-24,-0.1022987037037037,14323653.162933707
2024-06-25,-0.10228777777777777,13627630.359922808
2024-06-26,-0.10227685185185184,12931607.556911906
2024-06-27,-0.10226592592592591,12235584.753901007
2024-06-28,-0.10225499999999998,11539561.950890105
2024-06-29,-0.10224407407407407,10843539.147879206
2024-06-30,-0.10223314814814814,60618983.893700354
2024-07-01,-0.10222222222222221,110394428.6395215
2024-07-02,-0.10235286738351254,1236971.9030768902
2024-07-03,-0.10248351254480285,7714717.74026513
2024-07-04,-0.10261415770609318,14192463.577453371
2024-07-05,-0.10274480286738351,62261947.997522816
2024-07-06,-0.10287544802867384,110331432.41759226
2024-07-07,-0.10300609318996415,1249761.0664956488
2024-07-08,-0.10313673835125448,9583884.454163615
2024-07-09,-0.1032673835125448,17918007.84183158
2024-07-10,-0.10339802867383512,61611883.86246393
2024-07-11,-0.10352867383512544,105305759.88309628
2024-07-12,-0.10365931899641577,1245183.5157309142
2024-07-13,-0.10378996415770608,9481736.930613497
2024-07-14,-0.10392060931899641,17718290.34549608
2024-07-15,-0.10405125448028674,63616920.80759882
2024-07-16,-0.10418189964157706,109515551.26970157
2024-07-17,-0.10431254480286738,77621217.35071202
2024-07-18,-0.1044431899641577,45726883.431722455
2024-07-19,-0.10457383512544803,13832549.51273289
2024-07-20,-0.10470448028673834,61714951.44318986
