Date,LAT,LON,ALLSKY_SFC_SW_DWN,RH2M,GWETTOP,T2M,Precipitations_mm,VPD
2024-12-25,28.5,-2.5,12.186666666666667,43.85,,12.58,0.0,0.818
2024-12-25,29.5,-7.5,14.160000000000002,44.67333333333334,,13.340000000000002,0.0,0.847
2024-12-25,29.5,-2.5,12.583333333333334,47.24666666666667,,11.4,0.0,0.711
2024-12-25,30.5,-7.5,13.25,57.026666666666664,,5.196666666666666,0.0,0.38
2024-12-25,30.5,-2.5,12.706666666666669,46.78666666666667,,10.593333333333334,0.0,0.68
2024-12-25,31.5,-7.5,11.61,56.77,,7.483333333333333,0.0,0.448
2024-12-25,31.5,-2.5,12.553333333333333,44.11333333333334,,9.916666666666666,0.0,0.682
2024-12-25,32.5,-7.5,11.863333333333335,64.0,,12.363333333333335,0.0,0.517
2024-12-25,32.5,-2.5,12.776666666666666,50.199999999999996,,7.083333333333333,0.0,0.502
2024-12-25,33.5,-7.5,10.829999999999998,74.59333333333333,,14.363333333333335,0.0,0.416
2024-12-25,33.5,-2.5,11.326666666666668,51.50333333333333,,7.34,0.0,0.497
2024-12-25,34.5,-7.5,10.063333333333333,72.09333333333333,,17.790000000000003,0.0,0.568
2024-12-25,34.5,-2.5,11.116666666666667,54.04666666666666,,10.006666666666666,0.0,0.565
2024-12-25,35.5,-7.5,10.196666666666667,75.40333333333332,,17.503333333333334,0.0,0.492
2024-12-25,35.5,-2.5,10.086666666666668,70.25333333333333,,16.503333333333334,0.0,0.558
2024-12-26,27.5,-7.5,14.746666666666668,44.376666666666665,,11.833333333333334,0.0,0.772
2024-12-26,27.5,-2.5,14.850000000000001,41.99,,13.186666666666667,0.0,0.879
2024-12-26,28.5,-7.5,14.17,41.50333333333333,,11.683333333333332,0.0,0.803
2024-12-26,28.5,-2.5,14.576666666666668,43.78666666666667,,12.546666666666667,0.0,0.817
2024-12-26,29.5,-7.5,14.283333333333333,36.67333333333333,,12.473333333333334,0.2,0.916
2024-12-26,29.5,-2.5,14.25,46.5,,11.32,0.0,0.717
2024-12-26,30.5,-7.5,13.676666666666668,50.56,,4.553333333333334,3.0,0.418
2024-12-26,30.5,-2.5,13.946666666666667,47.656666666666666,,10.256666666666668,0.0,0.654
2024-12-26,31.5,-7.5,12.176666666666668,54.19,,6.989999999999999,0.0,0.459
2024-12-26,31.5,-2.5,13.623333333333333,46.60666666666666,,9.486666666666666,0.0,0.633
2024-12-26,32.5,-7.5,10.786666666666667,70.60000000000001,,11.453333333333333,0.0,0.398
2024-12-26,32.5,-2.5,13.083333333333334,47.75333333333333,,6.853333333333333,0.0,0.518
2024-12-26,33.5,-7.5,9.583333333333334,78.96666666666667,,14.283333333333333,0.0,0.342
2024-12-26,33.5,-2.5,11.76,47.00333333333333,,7.419999999999999,0.0,0.546
2024-12-26,34.5,-7.5,8.396666666666667,74.60333333333334,,17.843333333333334,0.0,0.519
2024-12-26,34.5,-2.5,10.326666666666666,56.32333333333333,,9.343333333333334,0.0,0.513
2024-12-26,35.5,-7.5,9.19,75.02,,17.453333333333333,0.0,0.498
2024-12-26,35.5,-2.5,8.356666666666667,76.44333333333333,,16.003333333333334,0.0,0.428
2024-12-27,27.5,-7.5,14.916666666666666,49.32,,11.99,0.0,0.71
2024-12-27,27.5,-2.5,15.436666666666667,43.81333333333333,,12.786666666666667,0.0,0.83
2024-12-27,28.5,-7.5,14.523333333333333,45.82333333333333,,12.57,0.0,0.789
2024-12-27,28.5,-2.5,14.803333333333333,45.57,,12.493333333333332,0.0,0.789
2024-12-27,29.5,-7.5,14.219999999999999,43.666666666666664,,13.32,0.0,0.862
2024-12-27,29.5,-2.5,14.39,50.63666666666666,,11.273333333333333,0.0,0.66
2024-12-27,30.5,-7.5,12.31,60.086666666666666,,5.09,0.0,0.35
2024-12-27,30.5,-2.5,13.836666666666666,56.39333333333334,,10.363333333333333,0.0,0.549
2024-12-27,31.5,-7.5,11.116666666666667,55.913333333333334,,7.563333333333333,0.0,0.459
2024-12-27,31.5,-2.5,12.87,58.06666666666666,,9.75,0.0,0.506
2024-12-27,32.5,-7.5,10.173333333333334,66.33999999999999,,12.089999999999998,0.1,0.475
2024-12-27,32.5,-2.5,12.306666666666667,56.949999999999996,,7.06,0.0,0.433
2024-12-27,33.5,-7.5,10.086666666666666,76.59333333333335,,14.016666666666666,0.1,0.375
2024-12-27,33.5,-2.5,11.86,51.876666666666665,,7.3933333333333335,0.0,0.495
2024-12-27,34.5,-7.5,9.459999999999999,74.35000000000001,,17.453333333333333,0.0,0.511
2024-12-27,34.5,-2.5,10.950000000000001,52.546666666666674,,9.956666666666665,0.0,0.581
2024-12-27,35.5,-7.5,9.403333333333334,75.66666666666667,,17.44666666666667,0.0,0.485
2024-12-27,35.5,-2.5,8.693333333333333,73.85000000000001,,16.203333333333333,0.0,0.482
